Id,Station,StreamUrl
1,I Love Rio,https://usa10.fastcast4u.com/bluebossanova
2,Bossanova Brazil,https://radio2.vip-radios.fm:18009/stream-128kmp3-BossaNovaBrazil
3,Radio Estilo Leblon,https://us4.internet-radio.com/proxy/radioestiloleblon/stream
4,Fanatica Chill,https://ascl.denial.cl:2020/stream/8004
5,Gem Radio New Wave,https://gemradionw.radioca.st/stream/1/
6,The Bristol Sound Web,https://thebristolsoundwebradio.stream.laut.fm/thebristolsoundwebradio
7,Best of 80s,https://bestof80s.stream.laut.fm/best_of_80s
8,80s,https://80s.stream.laut.fm/80s
9,Goanight,https://goanight.stream.laut.fm/goanight
10,Weekend Radio,https://weekendradio.stream.laut.fm/weekendradio
11,1000 Smoothhits,https://1000smoothhits.stream.laut.fm/1000smoothhits
12,Chillout,https://chillout.stream.laut.fm/chillout
13,Ad Infinitum,https://adinfinitum.stream.laut.fm/ad_infinitum
14,Electro Swing,https://electro-swing.stream.laut.fm/electro-swing
15,Hairrock-Radio,https://hairrockradio.stream.laut.fm/hairrockradio
16,Virgin On Hair,https://icy.unitedradio.it/Virgin.mp3
17,Virgin Rock 80s,https://icy.unitedradio.it/VirginRock80.mp3
18,Virgin Rock Hits,https://icy.unitedradio.it/VirginRockHits.mp3
19,Virgin Rock Party,https://icy.unitedradio.it/VirginRockParty.mp3
20,AC DC,https://icy.unitedradio.it/um1026.mp3
21,Pink Floyd,https://icy.unitedradio.it/VirginRogerWaters.mp3
22,Jha Music Mansion,http://192.99.41.102:5304/stream/1/
23,Psyndora Chillout,https://cast.magicstreams.gr/sc/psychill/stream
24,Ibiza Live Radio,https://uksoutha.streaming.broadcast.radio/ibiza-live-radio
25,Ibiza Global Radio,https://cdn-peer011.streaming-pro.com:8025/ibizaglobalradio.mp3
26,50s 60s Radio,https://strm112.1.fm/60s_70s_mobile_mp3
27,50s 60s Retro Hits,https://stream-158.zeno.fm/pxzwykxbluitv
28,PlusFM,https://radio5.pro-fhi.net/flux-ymwhyfad/1
29,Lounge Radio Ibiza,https://lounge-radio-ibiza.stream.laut.fm/lounge-radio-ibiza
30,Radio Horyzont,http://s1.slotex.pl:7328/stream/1/;?type=http
31,New Wawe 80s,https://digitalaudiobroadcasting.net:1085/stream
32,New Wawe Radio,https://puma.streemlion.com:2910/stream
